资产负债表;;;;;;;;;;;;;;;;;;;;;;;;;
日期;2018-06;2018-03;2017-12;2017-09;2017-06;2017-03;2016-12;2016-09;2016-06;2016-03;2015-12;2015-09;2015-06;2015-03;2014-12;2014-09;2014-06;2014-03;2013-12;2013-09;2013-06;2013-03;2012-12;2012-09;2012-06
现金流量表;;;;;;;;;;;;;;;;;;;;;;;;;
经营活动带来的净现金流;3.382e+09;1.155e+09;4.015e+09;-1.171e+09;3.317e+09;2.86e+08;3.632e+09;2.971e+09;1.615e+09;2.158e+09;4.247e+09;3.305e+09;2.585e+09;2.284e+09;-1.164e+09;4.348e+09;2.315e+09;2.361e+09;3.026e+09;3.949e+09;2.338e+09;2.341e+09;1.809e+09;3.139e+09;0
净利润;1.716e+09;7.41e+08;-1.038e+09;-5.1e+07;1.951e+09;1.556e+09;-5.87e+08;2.189e+09;1.209e+09;1.13e+09;9.82e+08;1.831e+09;6.88e+08;9.58e+08;7.327e+09;8.43e+08;2.033e+09;1.731e+09;8.15e+08;1.151e+09;9.35e+08;1.616e+09;9.49e+08;1.763e+09;0
信用损失计提;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
折旧与摊销;1.226e+09;1.137e+09;1.128e+09;1.154e+09;1.162e+09;1.193e+09;1.155e+09;1.175e+09;1.55e+09;1.561e+09;1.56e+09;1.57e+09;1.608e+09;1.637e+09;1.573e+09;1.611e+09;1.753e+09;1.754e+09;1.954e+09;1.705e+09;1.655e+09;1.674e+09;1.661e+09;1.723e+09;0
递延所得税费用(收益);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
投资损失（收益）;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
投资/资产减损支出;0;0;2.7e+08;2.45e+08;5.1e+07;8e+07;3.376e+09;5e+06;2.9e+08;2.77e+08;8.2e+07;7e+06;5.9e+07;1.4e+07;1.3e+07;5.49e+08;6.6e+08;0;1.71e+08;0;5.64e+08;3e+07;2.4e+07;4e+07;0
债务和发行成本摊销;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
业务处置利得（损失）;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
股权补偿;9e+07;8e+07;8e+07;7.6e+07;8.2e+07;7.4e+07;7.5e+07;7.7e+07;8e+07;6.8e+07;7.8e+07;7.5e+07;8.3e+07;6.3e+07;6.9e+07;7.5e+07;7.8e+07;5.6e+07;6.6e+07;6.8e+07;7.5e+07;6.7e+07;7.8e+07;8.8e+07;0
应收账款;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
贷款;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
存货;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
预付费用;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
应付款项;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
应付所得税;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
应计债务;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
其他营运资金;1.99e+08;-1.473e+09;2.38e+08;-2.922e+09;1.98e+08;-2.535e+09;4.01e+08;-5.64e+08;-1.563e+09;-8.75e+08;5.19e+08;2.23e+08;-3.92e+08;-6.18e+08;8.74e+08;2.068e+09;-4.15e+08;-7.03e+08;-3e+08;1.315e+09;-6.36e+08;-1.173e+09;-1.795e+09;-2.82e+08;0
