资产负债表;;;;;;;;;;;;;;;;;;;;;;;
日期;2018-06;2018-03;2017-12;2017-09;2017-06;2017-03;2016-12;2016-09;2016-06;2016-03;2015-12;2015-09;2015-06;2015-03;2014-12;2014-09;2014-06;2014-03;2013-12;2013-09;2013-06;2013-03;2012-12
递延收入;3.58e+08;3.15e+08;3.4e+08;3.46e+08;3.45e+08;3.23e+08;2.02e+08;1.69e+08;1.51e+08;1.31e+08;1.51e+08;1.33e+08;1.08e+08;9.3e+07;1.04e+08;1.54e+08;9.3e+07;1.03e+08;1.39e+08;1.25e+08;1.32e+08;7.9e+07;1e+08
其他长期负债;1.4889e+10;1.6034e+10;1.5871e+10;7.282e+09;6.981e+09;7.687e+09;-4.363e+09;7.022e+09;6.286e+09;5.777e+09;5.485e+09;5.48e+09;5.575e+09;5.452e+09;4.525e+09;4.108e+09;3.812e+09;3.36e+09;3.381e+09;3.144e+09;2.975e+09;2.921e+09;2.786e+09
其他负债;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
股东权益总计;1.62e+11;1.60825e+11;1.52502e+11;1.571e+11;1.48286e+11;1.44949e+11;1.39036e+11;1.34103e+11;1.27879e+11;1.23569e+11;1.20331e+11;1.16241e+11;1.11783e+11;1.08448e+11;1.045e+11;9.8815e+10;9.5749e+10;9.1711e+10;8.7309e+10;8.2989e+10;7.8852e+10;7.5473e+10;7.1715e+10
资本公积;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
优先股;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
普通股;4.2243e+10;4.1487e+10;4.0247e+10;3.9609e+10;3.8509e+10;3.7698e+10;3.6307e+10;3.5337e+10;3.4293e+10;3.3695e+10;3.2982e+10;3.1864e+10;3.0722e+10;2.9527e+10;2.8767e+10;2.7948e+10;2.7111e+10;2.6652e+10;2.5922e+10;2.5004e+10;2.4334e+10;2.3429e+10;2.2835e+10
留存收益;1.21282e+11;1.20008e+11;1.13247e+11;1.18237e+11;1.11505e+11;1.0942e+11;1.05131e+11;9.9798e+10;9.4737e+10;9.1168e+10;8.9223e+10;8.5969e+10;8.199e+10;7.9292e+10;7.5706e+10;7.0949e+10;6.8136e+10;6.4714e+10;6.1262e+10;5.7886e+10;5.4916e+10;5.1688e+10;4.8342e+10
库存股份;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
累积其他综合收益;-1.525e+09;-6.7e+08;-9.92e+08;-7.46e+08;-1.728e+09;-2.169e+09;-2.402e+09;-1.032e+09;-1.151e+09;-1.294e+09;-1.874e+09;-1.592e+09;-9.29e+08;-3.71e+08;2.7e+07;-8.2e+07;5.02e+08;3.45e+08;1.25e+08;9.9e+07;-3.98e+08;3.56e+08;5.38e+08
;;;;;;;;;;;;;;;;;;;;;;;
现金流量表;;;;;;;;;;;;;;;;;;;;;;;
经营活动带来的净现金流;1.0132e+10;1.1642e+10;1.0268e+10;9.872e+09;7.403e+09;9.548e+09;9.413e+09;9.845e+09;9.12e+09;7.658e+09;6.415e+09;6.007e+09;6.985e+09;6.617e+09;6.364e+09;5.994e+09;5.627e+09;4.391e+09;5.238e+09;5.083e+09;4.705e+09;3.633e+09;4.669e+09
净利润;3.195e+09;9.401e+09;-3.02e+09;6.732e+09;3.524e+09;5.426e+09;5.333e+09;5.061e+09;4.877e+09;4.207e+09;4.923e+09;3.979e+09;3.86e+09;3.586e+09;4.757e+09;2.813e+09;3.422e+09;3.452e+09;3.376e+09;2.97e+09;3.228e+09;3.346e+09;2.886e+09
信用损失计提;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
折旧与摊销;2.114e+09;1.986e+09;2.026e+09;1.761e+09;1.625e+09;1.503e+09;1.687e+09;1.596e+09;1.49e+09;1.371e+09;1.404e+09;1.248e+09;1.234e+09;1.177e+09;1.267e+09;1.547e+09;1.079e+09;1.086e+09;1.036e+09;9.74e+08;1.03e+09;8.99e+08;9.53e+08
递延所得税费用(收益);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
投资损失（收益）;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
投资/资产减损支出;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
债务和发行成本摊销;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
业务处置利得（损失）;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
股权补偿;2.413e+09;2.457e+09;1.847e+09;1.82e+09;2.003e+09;2.009e+09;1.846e+09;1.86e+09;1.503e+09;1.494e+09;1.436e+09;1.432e+09;1.132e+09;1.203e+09;1.187e+09;1.29e+09;9.15e+08;8.87e+08;9.02e+08;8.86e+08;8.47e+08;7.08e+08;7.16e+08
应收账款;-3.12e+08;1.7e+09;-3.049e+09;-1.15e+09;-8.36e+08;1.267e+09;-2.279e+09;-2.82e+08;-8.35e+08;8.18e+08;-1.758e+09;-2.67e+08;-7.67e+08;6.98e+08;-1.151e+09;-3.6e+07;-7.21e+08;2.67e+08;-8.53e+08;-5.16e+08;-1.94e+08;2.56e+08;-5.59e+08
贷款;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
存货;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.6e+07;-6e+06;2.6e+07;-1.88e+08;1.12e+08;-1.6e+07;-1.42e+08;1.13e+08
预付费用;0;0;0;0;-3.26e+08;-1.28e+08;1.98e+08;-4.7e+07;-2.4e+07;1.85e+08;-5.22e+08;1.42e+08;1.9e+07;4.3e+07;-1e+06;-3.9e+07;8.33e+08;-3.34e+08;-5.47e+08;1.99e+08;-1.36e+08;-2.12e+08;3.82e+08
应付款项;-1.45e+08;1.22e+08;6.73e+08;-6.1e+07;1.6e+07;1.03e+08;-1.28e+08;4.59e+08;4.8e+07;-2.69e+08;3.71e+08;2.3e+08;-3.74e+08;-2.4e+07;5.49e+08;-1.27e+08;-1.63e+08;1.77e+08;3.2e+08;3.57e+08;-1.59e+08;8.7e+07;-2.25e+08
应付所得税;0;0;0;0;0;0;0;0;0;0;0;0;0;7.56e+08;0;0;0;0;0;0;0;-3.35e+08;1.56e+08
应计债务;5.725e+09;-1.428e+09;2.543e+09;1.61e+09;3.635e+09;-1.942e+09;1.632e+09;9.95e+08;6.76e+08;-1.195e+09;1.185e+09;6.35e+08;9.22e+08;-8.06e+08;5.5e+08;5.88e+08;1.013e+09;-1.149e+09;1.229e+09;9.3e+07;7.31e+08;-1.086e+09;6.34e+08
其他营运资金;-1.788e+09;6.71e+08;9.16e+09;-6.85e+08;-2.205e+09;6.21e+08;1.153e+09;5.12e+08;1.394e+09;2.89e+08;-1.174e+09;-8.78e+08;1.219e+09;-5.9e+07;-2.89e+08;4.13e+08;-2.86e+08;2.24e+08;6.37e+08;1.69e+08;1.96e+08;-3.3e+07;-1.9e+07
其他非现金项目;1.37e+08;-2.57e+08;3.8e+07;6.5e+07;2.6e+07;8e+06;5.7e+07;2.6e+07;2.7e+07;6.4e+07;-1.39e+08;-9.7e+07;-7.2e+07;-2.8e+07;-8.79e+08;-1.2e+08;-1.56e+08;-2.72e+08;-1.12e+08;-2.1e+07;-8.85e+08;-5.7e+07;-7.9e+07
其他资产与负债;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
其他经营活动;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
投资活动带来的净现金流;-3.374e+09;-7.846e+09;-6.974e+09;-1.4404e+10;-7.172e+09;-2.851e+09;-4.702e+09;-1.3045e+10;-7.173e+09;-6.245e+09;-5.487e+09;-5.817e+09;-5.103e+09;-7.304e+09;-3.241e+09;-9.327e+09;-1.18e+09;-7.307e+09;-1.617e+09;-5.818e+09;-3.803e+09;-2.441e+09;-5.514e+09
固定资产投资;-5.477e+09;-7.299e+09;-4.307e+09;-3.538e+09;-2.831e+09;-2.508e+09;-3.078e+09;-2.583e+09;-2.123e+09;-2.428e+09;-2.1e+09;-2.373e+09;-2.515e+09;-2.927e+09;-3.551e+09;-2.417e+09;-2.646e+09;-2.345e+09;-2.255e+09;-2.289e+09;-1.611e+09;-1.203e+09;0
收购;0;0;0;0;0;0;0;-2.52e+08;-3.8e+07;-3.4e+07;8e+06;-1.02e+08;-7.8e+07;-6.4e+07;1.3e+08;-1.142e+09;-5.43e+08;-2.947e+09;-1.2e+08;1.47e+08;1.301e+09;-2.51e+08;-9.7e+07
并购和处置;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
财产和设备;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
购买投资资产;-1.4597e+10;-9.176e+09;-1.436e+10;-3.921e+10;-1.9897e+10;-2.0473e+10;-1.3986e+10;-2.5461e+10;-2.5102e+10;-2.1069e+10;-1.8552e+10;-2.3663e+10;-2.0693e+10;-1.3632e+10;-1.3084e+10;-1.9129e+10;-1.3124e+10;-1.22e+10;-1.4396e+10;-8.593e+09;-1.5154e+10;-7.87e+09;-9.614e+09
债务/销售投资;1.6865e+10;9.849e+09;1.1689e+10;2.8447e+10;1.4916e+10;1.944e+10;1.301e+10;1.659e+10;2.0346e+10;1.7443e+10;1.6045e+10;1.9274e+10;1.7197e+10;1.0389e+10;1.4665e+10;1.3045e+10;1.4199e+10;9.406e+09;1.5073e+10;6.235e+09;1.0687e+10;6.319e+09;5.38e+09
购买无形资产;-1.84e+08;-1.25e+09;-1.4e+07;-1.3e+08;-4.2e+07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
其他投资活动;0;0;0;0;6.69e+08;6.49e+08;-6.62e+08;-1.339e+09;-2.56e+08;-1.57e+08;-8.88e+08;1.047e+09;9.86e+08;-1.07e+09;-1.401e+09;3.16e+08;9.34e+08;7.79e+08;8.1e+07;-1.318e+09;9.74e+08;5.64e+08;-1.63e+08
融资活动带来的净现金流;-4.937e+09;-2.018e+09;-3.178e+09;-7.06e+08;-2.74e+09;-1.674e+09;-8.92e+08;-1.089e+09;-3.44e+09;-2.911e+09;-2.365e+09;-4.71e+08;-4.5e+08;-3.91e+08;-3.44e+08;-4.55e+08;-1.462e+09;8.22e+08;3.2e+07;-2.67e+08;-1.05e+08;-5.17e+08;-6.92e+08
融资活动带来的现金流;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
长期债券发行;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
长期债券偿还;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
债券发行;1.545e+09;4.691e+09;1.593e+09;2.698e+09;0;0;0;2.976e+09;1.797e+09;3.956e+09;3.373e+09;0;0;3.305e+09;2.458e+09;2.874e+09;2.877e+09;3.416e+09;2.418e+09;2.699e+09;2.729e+09;2.922e+09;3.984e+09
债券偿还;-2.889e+09;-3.378e+09;-1.615e+09;-2.706e+09;-3.8e+07;-1.8e+07;-1.3e+07;-3.25e+09;-2.839e+09;-3.962e+09;-3.387e+09;-3.637e+09;-3.396e+09;-3.308e+09;-2.462e+09;-2.877e+09;-3.881e+09;-2.423e+09;-2.421e+09;-2.701e+09;-2.88e+09;-3.323e+09;-4.653e+09
普通股发行;0;0;0;3.2e+08;0;4.8e+08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
普通股回购;-2.052e+09;-2.173e+09;-2.101e+09;0;-1.618e+09;-1.127e+09;0;0;-1.595e+09;-2.098e+09;0;0;0;0;0;0;0;0;0;0;0;0;0
库存股回购;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
短期借款变化;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
股息支付;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
其他金融活动;-1.541e+09;-1.158e+09;-1.055e+09;-1.018e+09;-1.084e+09;-1.009e+09;-8.79e+08;-8.15e+08;-8.03e+08;-8.07e+08;-2.545e+09;3.028e+09;2.835e+09;-4.93e+08;-5.21e+08;-6.27e+08;-5.95e+08;-3.26e+08;-1.44e+08;-3.69e+08;-5.8e+07;-2.1e+08;-9.8e+07
汇率变动的影响;-3.31e+08;1.65e+08;1.8e+07;1.08e+08;8.8e+07;1.91e+08;-3.07e+08;6.8e+07;9e+06;6e+07;-8.2e+07;-1.04e+08;4.5e+07;-2.93e+08;-1.97e+08;-2.27e+08;-4e+06;-5e+06;3e+06;8e+07;-8e+06;-7.8e+07;5.5e+07
净现金变化;1.49e+09;1.943e+09;1.34e+08;-5.13e+09;-2.421e+09;5.214e+09;3.512e+09;-4.221e+09;-1.484e+09;-1.438e+09;-1.519e+09;-3.85e+08;1.477e+09;-1.371e+09;2.582e+09;-4.015e+09;2.981e+09;-2.099e+09;3.656e+09;-9.22e+08;7.89e+08;5.97e+08;-1.482e+09
营运现金流量;1.0132e+10;1.1642e+10;1.0268e+10;9.872e+09;7.403e+09;9.548e+09;9.413e+09;9.845e+09;9.12e+09;7.658e+09;6.415e+09;6.007e+09;6.985e+09;6.617e+09;6.364e+09;5.994e+09;5.627e+09;4.391e+09;5.238e+09;5.083e+09;4.705e+09;3.633e+09;4.669e+09
资本支出;-5.661e+09;-8.549e+09;-4.321e+09;-3.668e+09;-2.873e+09;-2.508e+09;-3.078e+09;-2.583e+09;-2.123e+09;-2.428e+09;-2.1e+09;-2.373e+09;-2.515e+09;-2.927e+09;-3.551e+09;-2.417e+09;-2.646e+09;-2.345e+09;-2.255e+09;-2.289e+09;-1.611e+09;-1.203e+09;-1.02e+09
自由现金流;4.471e+09;3.093e+09;5.947e+09;6.204e+09;4.53e+09;7.04e+09;6.335e+09;7.262e+09;6.997e+09;5.23e+09;4.315e+09;3.634e+09;4.47e+09;3.69e+09;2.813e+09;3.577e+09;2.981e+09;2.046e+09;2.983e+09;2.794e+09;3.094e+09;2.43e+09;3.649e+09
