zichanfuzhai
,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

截止日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,0331,0331,0331,0331,0331,0331,0331,0331,0331,0331,0331,0331,0331
原始币种,日元,日元,日元,日元,日元,日元,日元,日元,日元,日元,日元,日元,日元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
新增借款(元),128164000000.00,35145000000.00,72913000000.00,55904000000.00,70684000000.00,317827000000.00,235084000000.00,123646000000.00,-34895000000.00,399861000000.00,151485000000.00,213787000000.00,62111000000.00
偿还借款(元),-175444000000.00,-44561000000.00,-20570000000.00,-,-,-,-,-76565000000.00,-,-,-,-,-
发行股份(元),-,-,-,-,-,-,-,-,-,-,301708000000.00,301708000000.00,-
发行债券(元),20300000000.00,125092000000.00,92833000000.00,72430000000.00,71316000000.00,254695000000.00,255416000000.00,203081000000.00,1031000000.00,139076000000.00,138772000000.00,139627000000.00,9712000000.00
赎回债券(元),-,-,-,-16299000000.00,-4173000000.00,-261299000000.00,-182670000000.00,-140400000000.00,-48607000000.00,-270669000000.00,-137743000000.00,-104768000000.00,-84767000000.00
股息支付(元),-19013000000.00,-28490000000.00,-27750000000.00,-12649000000.00,-12687000000.00,-25301000000.00,-25308000000.00,-12633000000.00,-12679000000.00,-12751000000.00,-12766000000.00,-105000000.00,-59000000.00
现金及权益增加(减少)(元),-,-,-,-,-,-76565000000.00,-76565000000.00,-,-,-,-,-,-
其他筹资活动产生的现金流量净额(元),-39901000000.00,-10209000000.00,-6612000000.00,-8207000000.00,-9293000000.00,-34207000000.00,7615000000.00,-28555000000.00,-15809000000.00,-40564000000.00,-34819000000.00,-48942000000.00,-15212000000.00
筹资业务其他项目(元),63798000000.00,169479000000.00,154374000000.00,88344000000.00,49827000000.00,277152000000.00,254279000000.00,114687000000.00,12406000000.00,165169000000.00,91113000000.00,-,20392000000.00
融资活动产生的现金流量净额(元),-22096000000.00,246456000000.00,265188000000.00,179523000000.00,165674000000.00,452302000000.00,467851000000.00,183261000000.00,-98553000000.00,380122000000.00,497750000000.00,501307000000.00,-7823000000.00
