zichanfuzhai
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

截止日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231
原始币种,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
营业收入(元),20502000000.00,10037000000.00,40122000000.00,29689000000.00,19365000000.00,9434000000.00,39807000000.00,29692000000.00,19156000000.00,9312000000.00,39498000000.00,29283000000.00,19210000000.00,9425000000.00
毛利(元),20502000000.00,10037000000.00,40122000000.00,29689000000.00,19365000000.00,9434000000.00,39807000000.00,29692000000.00,19156000000.00,9312000000.00,39498000000.00,29283000000.00,19210000000.00,9425000000.00
减：研发费用(元),12071000000.00,6380000000.00,22983000000.00,17296000000.00,9640000000.00,4811000000.00,24015000000.00,16034000000.00,10960000000.00,5231000000.00,21638000000.00,15990000000.00,10730000000.00,5306000000.00
减：营销费用(元),5016000000.00,2508000000.00,9830000000.00,7251000000.00,4849000000.00,2411000000.00,9762000000.00,7169000000.00,4776000000.00,2318000000.00,10313000000.00,7698000000.00,5226000000.00,2601000000.00
减：其他营业费用(元),-17000000.00,-196000000.00,776000000.00,500000000.00,317000000.00,209000000.00,1371000000.00,386000000.00,225000000.00,91000000.00,2146000000.00,1010000000.00,1066000000.00,137000000.00
营业利润(元),3432000000.00,1345000000.00,6533000000.00,4642000000.00,4559000000.00,2003000000.00,4659000000.00,6103000000.00,3195000000.00,1672000000.00,5401000000.00,4585000000.00,2188000000.00,-
加：其他收入(支出)(元),-,-,-12000000.00,-,-117000000.00,-,-,-88000000.00,-67000000.00,-48000000.00,-,-,-,-
持续经营税前利润(元),3432000000.00,1345000000.00,6521000000.00,4642000000.00,4442000000.00,2003000000.00,4659000000.00,6015000000.00,3128000000.00,1624000000.00,5401000000.00,4585000000.00,2188000000.00,1381000000.00
减：所得税(元),975000000.00,604000000.00,4103000000.00,1186000000.00,935000000.00,447000000.00,718000000.00,1487000000.00,789000000.00,494000000.00,942000000.00,1108000000.00,542000000.00,423000000.00
