zichanfuzhai
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

起始日期,2018-01-01,2018-01-01,2017-01-01,2017-01-01,2017-01-01,2017-01-01,2016-01-01,2016-01-01,2016-01-01,2016-01-01,2015-01-01,2015-01-01,2015-01-01,2015-01-01
截止日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231
原始币种,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
营业收入(元),103928000000.00,51042000000.00,177866000000.00,117413000000.00,73669000000.00,35714000000.00,135987000000.00,92246000000.00,59532000000.00,29128000000.00,107006000000.00,71259000000.00,45901000000.00,22717000000.00
主营收入(元),103928000000.00,51042000000.00,177866000000.00,117413000000.00,73669000000.00,35714000000.00,135987000000.00,92246000000.00,59532000000.00,29128000000.00,107006000000.00,71259000000.00,45901000000.00,22717000000.00
营业成本(元),61367000000.00,30735000000.00,111934000000.00,73439000000.00,45891000000.00,22440000000.00,88265000000.00,59306000000.00,38047000000.00,18866000000.00,71651000000.00,47310000000.00,30555000000.00,15395000000.00
毛利(元),42561000000.00,20307000000.00,65932000000.00,43974000000.00,27778000000.00,13274000000.00,47722000000.00,32940000000.00,21485000000.00,10262000000.00,35355000000.00,23949000000.00,15346000000.00,7322000000.00
减：研发费用(元),14006000000.00,6759000000.00,22620000000.00,16306000000.00,10363000000.00,4813000000.00,16085000000.00,11541000000.00,7405000000.00,3526000000.00,12540000000.00,8971000000.00,5774000000.00,2754000000.00
减：营销费用(元),5600000000.00,2699000000.00,10069000000.00,6629000000.00,4150000000.00,1920000000.00,7233000000.00,4720000000.00,2982000000.00,1436000000.00,5254000000.00,3496000000.00,2233000000.00,1083000000.00
减：一般及行政费用(元),2177000000.00,1067000000.00,3674000000.00,2630000000.00,1669000000.00,795000000.00,2432000000.00,1715000000.00,1077000000.00,497000000.00,1747000000.00,1357000000.00,894000000.00,427000000.00
减：其他营业费用(元),15867000000.00,7855000000.00,25463000000.00,16430000000.00,9964000000.00,4741000000.00,17786000000.00,12033000000.00,7665000000.00,3732000000.00,13581000000.00,9001000000.00,5726000000.00,2803000000.00
营业利润(元),4911000000.00,1927000000.00,4106000000.00,1979000000.00,1632000000.00,1005000000.00,4186000000.00,2931000000.00,2356000000.00,1071000000.00,2233000000.00,1124000000.00,719000000.00,255000000.00
加：利息收入(元),173000000.00,80000000.00,202000000.00,137000000.00,83000000.00,39000000.00,100000000.00,71000000.00,45000000.00,21000000.00,50000000.00,37000000.00,23000000.00,11000000.00
