zichanfuzhai
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

截止日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
原始币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币
购买无形资产及其他资产支付的现金(元),-,-,-19896000000.00,-,-,-,-,-,-,-,-,-,-,-
购买子公司、联营企业及合营企业支付的现金(元),-,-,-41003000000.00,-,-,-,-,-,-,-,-,-,-,-
出售子公司、联营企业及合营企业收到的现金(元),-,-,-3000000.00,-,-,-,-,-,-,-,-,-,-,-
购买证券投资所支付的现金(元),-,-,-48711000000.00,-,-,-,-,-,-,-,-,-,-,-
出售证券投资所收到的现金(元),-,-,8357000000.00,-,-,-,-,-,-,-,-,-,-,-
已收利息及股息投资(元),-,-,5538000000.00,-,-,-,-,-,-,-,-,-,-,-
投资活动产生的现金流量净额其他项目(元),-72896000000.00,-39303000000.00,11406000000.00,-79089000000.00,-50333000000.00,-34100000000.00,-70923000000.00,-56169000000.00,-21692000000.00,-9908000000.00,-63605000000.00,-37034000000.00,-21020000000.00,-9540000000.00
投资活动产生的现金流量净额(元),-72896000000.00,-39303000000.00,-96392000000.00,-79089000000.00,-50333000000.00,-34100000000.00,-70923000000.00,-56169000000.00,-21692000000.00,-9908000000.00,-63605000000.00,-37034000000.00,-21020000000.00,-9540000000.00
融资活动产生的现金流量,,,,,,,,,,,,,,
新增借款(元),-,-,50193000000.00,-,-,-,-,-,-,-,-,-,-,-
偿还借款(元),-,-,-17731000000.00,-,-,-,-,-,-,-,-,-,-,-
发行股份(元),-,-,6637000000.00,-,-,-,-,-,-,-,-,-,-,-
回购股份(元),-,-,-2232000000.00,-,-,-,-,-,-,-,-,-,-,-
赎回偿还债券(元),-,-,-3450000000.00,-,-,-,-,-,-,-,-,-,-,-
已付股息融资(元),-,-,-5998000000.00,-,-,-,-,-,-,-,-,-,-,-
融资活动产生的现金流量净额其他项目(元),30123000000.00,33072000000.00,-821000000.00,19023000000.00,2590000000.00,4571000000.00,31443000000.00,18552000000.00,12704000000.00,6207000000.00,18528000000.00,13580000000.00,9399000000.00,12787000000.00
融资活动产生的现金流量净额(元),30123000000.00,33072000000.00,26598000000.00,19023000000.00,2590000000.00,4571000000.00,31443000000.00,18552000000.00,12704000000.00,6207000000.00,18528000000.00,13580000000.00,9399000000.00,12787000000.00
现金及现金等价物净增加额(元),-1370000000.00,13594000000.00,36346000000.00,17480000000.00,-661000000.00,-2915000000.00,26038000000.00,7901000000.00,19861000000.00,13215000000.00,354000000.00,3786000000.00,5674000000.00,12935000000.00
