zichanfuzhai
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

截止日期,2018-06-29,2018-03-30,2017-12-31,2017-09-29,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-07-01,2016-04-01,2015-12-31,2015-10-02,2015-07-03,2015-04-03
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231
原始币种,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
融资活动产生的现金流量净额(元),-2890000000.00,324000000.00,-7447000000.00,-2499000000.00,797000000.00,1535000000.00,-6545000000.00,-1783000000.00,-783000000.00,399000000.00,-5113000000.00,-1178000000.00,-1130000000.00,-1177000000.00
汇率变动影响(元),-109000000.00,95000000.00,242000000.00,310000000.00,199000000.00,203000000.00,-6000000.00,231000000.00,238000000.00,88000000.00,-878000000.00,-774000000.00,-385000000.00,-332000000.00
期间变动其他项目(元),46000000.00,-,-,-,-,-,-,-,-,-,-,-,-,-
现金及现金等价物期初余额(元),6373000000.00,6373000000.00,8555000000.00,8555000000.00,8555000000.00,8555000000.00,7309000000.00,7309000000.00,7309000000.00,7309000000.00,8958000000.00,8958000000.00,8958000000.00,8958000000.00
现金及现金等价物增加(减少)额(元),1950000000.00,2375000000.00,-2549000000.00,3973000000.00,3163000000.00,3565000000.00,1246000000.00,3838000000.00,2338000000.00,1439000000.00,-1649000000.00,1025000000.00,-153000000.00,-747000000.00
现金及现金等价物期末余额(元),8369000000.00,8748000000.00,6006000000.00,12528000000.00,11718000000.00,12120000000.00,8555000000.00,11147000000.00,9647000000.00,8748000000.00,7309000000.00,9983000000.00,8805000000.00,8211000000.00
公告日期,2018-07-25,2018-04-24,2018-02-23,2017-10-26,2017-07-27,2017-04-27,2017-02-24,2016-10-27,2016-07-28,2016-04-28,2016-02-25,2015-10-28,2015-07-29,2015-04-30
会计准则,美国会计准则,美国会计准则,,,,,,,,,,,,
审计意见,,,,,,,,,,,,,,
核数师,,,,,,,,,,,,,,

lirun
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

起始日期,2017-12-30,2017-12-31,2017-01-01,2016-12-30,2017-01-01,2017-01-01,2016-01-01,2016-01-01,2016-01-01,2016-01-01,2015-01-01,2015-01-01,2015-01-01,2015-01-01
截止日期,2018-06-29,2018-03-30,2017-12-31,2017-09-29,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-07-01,2016-04-01,2015-12-31,2015-10-02,2015-07-03,2015-04-03
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231
原始币种,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
营业收入(元),16553000000.00,7626000000.00,35410000000.00,27898000000.00,18820000000.00,9118000000.00,41863000000.00,32454000000.00,21821000000.00,10282000000.00,44294000000.00,34294000000.00,22867000000.00,10711000000.00
营业成本(元),5990000000.00,2738000000.00,13256000000.00,10567000000.00,7172000000.00,3513000000.00,16465000000.00,12671000000.00,8540000000.00,4069000000.00,17482000000.00,13428000000.00,8851000000.00,4103000000.00
毛利(元),10563000000.00,4888000000.00,22154000000.00,17331000000.00,11648000000.00,5605000000.00,25398000000.00,19783000000.00,13281000000.00,6213000000.00,26812000000.00,20866000000.00,14016000000.00,6608000000.00
减：营销费用(元),5264000000.00,2541000000.00,12496000000.00,9660000000.00,6457000000.00,3315000000.00,15262000000.00,11682000000.00,7673000000.00,3761000000.00,16427000000.00,12490000000.00,8283000000.00,4079000000.00
减：其他营业费用(元),761000000.00,536000000.00,2157000000.00,1491000000.00,1131000000.00,308000000.00,1510000000.00,830000000.00,608000000.00,311000000.00,1657000000.00,1166000000.00,902000000.00,233000000.00
营业利润(元),4538000000.00,1811000000.00,7501000000.00,6180000000.00,4060000000.00,1982000000.00,8626000000.00,7271000000.00,5000000000.00,2141000000.00,8728000000.00,7210000000.00,4831000000.00,2296000000.00
加：利息收入(元),335000000.00,165000000.00,677000000.00,495000000.00,320000000.00,155000000.00,642000000.00,472000000.00,308000000.00,144000000.00,613000000.00,459000000.00,304000000.00,155000000.00
加：利息支出(元),-471000000.00,-230000000.00,-841000000.00,-631000000.00,-423000000.00,-192000000.00,-733000000.00,-485000000.00,-303000000.00,-141000000.00,-856000000.00,-713000000.00,-575000000.00,-447000000.00
加：权益性投资损益(元),466000000.00,142000000.00,1071000000.00,883000000.00,525000000.00,116000000.00,835000000.00,678000000.00,397000000.00,92000000.00,489000000.00,402000000.00,202000000.00,2000000.00
加：其他收入(支出)(元),-152000000.00,-55000000.00,-1666000000.00,-1122000000.00,-351000000.00,-554000000.00,-1234000000.00,-315000000.00,791000000.00,-342000000.00,631000000.00,709000000.00,1580000000.00,-25000000.00
持续经营税前利润(元),4716000000.00,1833000000.00,6742000000.00,5805000000.00,4131000000.00,1507000000.00,8136000000.00,7621000000.00,6193000000.00,1894000000.00,9605000000.00,8067000000.00,6342000000.00,1981000000.00
减：所得税(元),1100000000.00,506000000.00,5560000000.00,1805000000.00,1575000000.00,323000000.00,1586000000.00,1618000000.00,1240000000.00,401000000.00,2239000000.00,1937000000.00,1665000000.00,415000000.00
持续经营净利润(元),3616000000.00,1327000000.00,1182000000.00,4000000000.00,2556000000.00,1184000000.00,6550000000.00,6003000000.00,4953000000.00,1493000000.00,7366000000.00,6130000000.00,4677000000.00,1566000000.00
加：已终止或非持续经营净利润(元),115000000.00,73000000.00,101000000.00,-,-,-,-,-,-,-,-,-,-,-
净利润(元),3731000000.00,1400000000.00,1283000000.00,4000000000.00,2556000000.00,1184000000.00,6550000000.00,6003000000.00,4953000000.00,1493000000.00,7366000000.00,6130000000.00,4677000000.00,1566000000.00
减：少数股东损益(元),47000000.00,32000000.00,35000000.00,-,3000000.00,2000000.00,23000000.00,26000000.00,22000000.00,10000000.00,15000000.00,16000000.00,12000000.00,9000000.00
