zichanfuzhai
,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

截止日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,0331,0331,0331,0331,0331,0331,0331,0331,0331,0331,0331,0331,0331
原始币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
其他筹资活动产生的现金流量净额(元),-,-,-,-,-,-,-,-,-,-,-,-,1111000000.00
筹资业务其他项目(元),-,-,-,-,-,818000000.00,-,-,-,-,-,-,-
融资活动产生的现金流量净额(元),4281000000.00,20359000000.00,24964000000.00,-9310000000.00,-8894000000.00,32914000000.00,30432000000.00,31142000000.00,21312000000.00,-15846000000.00,-14856000000.00,-16124000000.00,1111000000.00
汇率变动影响(元),2783000000.00,-6067000000.00,-3421000000.00,-1903000000.00,-1097000000.00,2042000000.00,2488000000.00,743000000.00,626000000.00,466000000.00,648000000.00,321000000.00,-48000000.00
现金及现金等价物期初余额(元),202726000000.00,143736000000.00,143736000000.00,143736000000.00,143736000000.00,106818000000.00,106818000000.00,106818000000.00,106818000000.00,108193000000.00,108193000000.00,108193000000.00,108193000000.00
现金及现金等价物增加(减少)额(元),-28489000000.00,55573000000.00,68460000000.00,5010000000.00,1408000000.00,36918000000.00,27171000000.00,-3134000000.00,-24572000000.00,-1375000000.00,2108000000.00,-11446000000.00,-4129000000.00
现金及现金等价物期末余额(元),174237000000.00,199309000000.00,212196000000.00,148746000000.00,145144000000.00,143736000000.00,133989000000.00,103684000000.00,82246000000.00,106818000000.00,110301000000.00,96747000000.00,104064000000.00
公告日期,2018-08-23,2018-05-04,2018-02-01,2017-11-02,2017-08-17,2017-06-15,2017-01-24,2016-11-02,2016-08-11,2016-05-24,2016-01-28,2015-10-27,2015-08-12
会计准则,美国会计准则,美国会计准则,,,,,,,,,,,
审计意见,,,,,,,,,,,,,
核数师,,,,,,,,,,,,,

lirun
,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

起始日期,2018-04-01,2017-04-01,2017-04-01,2017-04-01,2017-04-01,2016-04-01,2016-04-01,2016-04-01,2016-04-01,2015-04-01,2015-04-01,2015-04-01,2015-04-01
