zichanfuzhai
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

截止日期,2018-07-01,2018-04-01,2017-12-31,2017-10-01,2017-07-02,2017-04-02,2016-12-31,2016-10-02,2016-07-03,2016-04-03,2015-12-31,2015-09-27,2015-06-28,2015-03-29
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231
原始币种,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
购买固定资产支付的现金(元),-810000000.00,-386000000.00,-1956000000.00,-1256000000.00,-806000000.00,-358000000.00,-1823000000.00,-1134000000.00,-702000000.00,-301000000.00,-1397000000.00,-786000000.00,-497000000.00,-239000000.00
购买无形资产及其他资产支付的现金(元),-4224000000.00,-1518000000.00,-18394000000.00,-9183000000.00,-4098000000.00,-1441000000.00,-24144000000.00,-20037000000.00,-11966000000.00,-4797000000.00,-38222000000.00,-27694000000.00,-21463000000.00,-10703000000.00
处置无形资产及其他资产收到的现金(元),13089000000.00,11546000000.00,13901000000.00,10958000000.00,8483000000.00,3081000000.00,36472000000.00,34085000000.00,17184000000.00,9557000000.00,46993000000.00,43701000000.00,26794000000.00,17882000000.00
收购附属公司(元),-,-,-1000000000.00,-1000000000.00,-1000000000.00,-585000000.00,-18368000000.00,-17679000000.00,-4616000000.00,-110000000.00,-16466000000.00,-16322000000.00,-679000000.00,-678000000.00
投资业务其他项目(元),138000000.00,25000000.00,2708000000.00,519000000.00,455000000.00,4075000000.00,51000000.00,60000000.00,-223000000.00,6000000.00,6112000000.00,346000000.00,332000000.00,330000000.00
投资活动产生的现金流量净额(元),8193000000.00,9667000000.00,-4741000000.00,38000000.00,3034000000.00,4772000000.00,-7811000000.00,-4704000000.00,-323000000.00,4355000000.00,-2980000000.00,-756000000.00,4487000000.00,6592000000.00
融资活动产生的现金流量：,,,,,,,,,,,,,,
新增借款(元),-,-83000000.00,-,-,261000000.00,-,-,-963000000.00,-,1724000000.00,-,-,-,-
偿还借款(元),-6025000000.00,-2493000000.00,-16144000000.00,-7691000000.00,-5110000000.00,-2530000000.00,-5102000000.00,-3321000000.00,-2291000000.00,-1350000000.00,-3965000000.00,-15000000.00,-10000000.00,-
回购股份(元),-6063000000.00,-6063000000.00,-5000000000.00,-5000000000.00,-5000000000.00,-5000000000.00,-5000000000.00,-5000000000.00,-5000000000.00,-5000000000.00,-6160000000.00,-6160000000.00,-6000000000.00,-6000000000.00
发行债券(元),-,-,5274000000.00,5273000000.00,5273000000.00,5273000000.00,10976000000.00,5031000000.00,5031000000.00,-,-,-,-,-
赎回债券(元),-,-355000000.00,-,-4474000000.00,-4473000000.00,-1253000000.00,-7689000000.00,-4317000000.00,-4317000000.00,-1536000000.00,-3003000000.00,-3003000000.00,-3002000000.00,-3002000000.00
股息支付(元),-4021000000.00,-2032000000.00,-7659000000.00,-5750000000.00,-3855000000.00,-1945000000.00,-7317000000.00,-5496000000.00,-3675000000.00,-1854000000.00,-6940000000.00,-5211000000.00,-3483000000.00,-1758000000.00
行使股票期权所得(元),474000000.00,372000000.00,862000000.00,656000000.00,411000000.00,313000000.00,1019000000.00,946000000.00,696000000.00,296000000.00,1263000000.00,1165000000.00,981000000.00,794000000.00
贷款收益(元),3838000000.00,428000000.00,9865000000.00,7558000000.00,4799000000.00,441000000.00,4388000000.00,6397000000.00,4489000000.00,682000000.00,5557000000.00,3929000000.00,2503000000.00,2861000000.00
其他筹资活动产生的现金流量净额(元),-831000000.00,-495000000.00,-233000000.00,-223000000.00,-228000000.00,-220000000.00,-196000000.00,29000000.00,-2000000.00,25000000.00,3015000000.00,171000000.00,154000000.00,122000000.00
融资活动产生的现金流量净额(元),-12628000000.00,-10720000000.00,-13035000000.00,-9650000000.00,-7922000000.00,-4921000000.00,-8921000000.00,-6693000000.00,-5069000000.00,-7014000000.00,-10233000000.00,-9124000000.00,-8857000000.00,-6982000000.00
汇率变动影响(元),-15000000.00,55000000.00,53000000.00,67000000.00,37000000.00,21000000.00,-215000000.00,-79000000.00,-68000000.00,-73000000.00,-1000000000.00,-162000000.00,-78000000.00,-74000000.00
现金及现金等价物期初余额(元),1431000000.00,1431000000.00,2595000000.00,2595000000.00,2595000000.00,2595000000.00,3641000000.00,3641000000.00,3641000000.00,3641000000.00,3343000000.00,3343000000.00,3343000000.00,3343000000.00
现金及现金等价物增加(减少)额(元),1381000000.00,985000000.00,-1254000000.00,184000000.00,-10000000.00,1461000000.00,-1046000000.00,-1547000000.00,-230000000.00,-1080000000.00,298000000.00,-244000000.00,327000000.00,220000000.00
现金及现金等价物期末余额(元),2811000000.00,2416000000.00,1342000000.00,2779000000.00,2585000000.00,4057000000.00,2595000000.00,2094000000.00,3411000000.00,2561000000.00,3641000000.00,3099000000.00,3670000000.00,3563000000.00
利息支付(元),724000000.00,259000000.00,1518000000.00,1101000000.00,655000000.00,216000000.00,1451000000.00,1177000000.00,903000000.00,382000000.00,-,1162000000.00,914000000.00,332000000.00
所得税支付(元),1197000000.00,257000000.00,2489000000.00,1424000000.00,1121000000.00,195000000.00,2521000000.00,1430000000.00,1111000000.00,518000000.00,-,1414000000.00,1124000000.00,372000000.00
