zichanfuzhai
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

营业利润(元),908791000.00,446578000.00,838679000.00,593376000.00,384749000.00,256942000.00,379793000.00,225859000.00,119823000.00,49453000.00,305826000.00,245932000.00,172291000.00,97456000.00
加：利息收入(元),2285000.00,-65743000.00,-115154000.00,-76473000.00,-44771000.00,13592000.00,30828000.00,50907000.00,42280000.00,25963000.00,-31225000.00,-27491000.00,-31421000.00,-32293000.00
加：利息支出(元),-182824000.00,-81219000.00,-238204000.00,-162912000.00,-102224000.00,-46742000.00,-150114000.00,-106528000.00,-70992000.00,-35537000.00,-132716000.00,-97287000.00,-61954000.00,-26737000.00
持续经营税前利润(元),728252000.00,299616000.00,485321000.00,353991000.00,237754000.00,223792000.00,260507000.00,170238000.00,91111000.00,39879000.00,141885000.00,121154000.00,78916000.00,38426000.00
减：所得税(元),53779000.00,9492000.00,-73608000.00,-19421000.00,-6068000.00,45570000.00,73829000.00,50308000.00,22698000.00,12221000.00,19244000.00,41691000.00,28885000.00,14730000.00
持续经营净利润(元),674473000.00,290124000.00,558929000.00,373412000.00,243822000.00,178222000.00,186678000.00,119930000.00,68413000.00,27658000.00,122641000.00,79463000.00,50031000.00,23696000.00
净利润(元),674473000.00,290124000.00,558929000.00,373412000.00,243822000.00,178222000.00,186678000.00,119930000.00,68413000.00,27658000.00,122641000.00,79463000.00,50031000.00,23696000.00
归属于母公司股东净利润(元),674473000.00,290124000.00,558929000.00,373412000.00,243822000.00,178222000.00,186678000.00,119930000.00,68413000.00,27658000.00,122641000.00,79463000.00,50031000.00,23696000.00
归属于普通股股东净利润(元),674473000.00,290124000.00,558929000.00,373412000.00,243822000.00,178222000.00,186678000.00,119930000.00,68413000.00,27658000.00,122641000.00,79463000.00,50031000.00,23696000.00
每股收益,,,,,,,,,,,,,,
基本每股收益－普通股(元),1.55,0.67,1.29,0.87,0.57,0.41,0.44,0.28,0.16,0.06,0.29,0.19,0.12,0.39
摊薄每股收益－普通股(元),1.50,0.64,1.25,0.84,0.55,0.40,0.43,0.27,0.16,0.06,0.28,0.18,0.12,0.38
其他全面收益(元),8130000.00,24821000.00,28008000.00,-,-,2706000.00,-,-,-,8907000.00,-38862000.00,-33444000.00,-33674000.00,-38708000.00
全面收益总额(元),682603000.00,314945000.00,586937000.00,-,-,180928000.00,-,-,-,36565000.00,83779000.00,46019000.00,16357000.00,-15012000.00
公告日期,2018-07-18,2018-04-18,2018-01-29,2017-10-16,2017-07-17,2017-04-20,2017-01-27,2016-10-20,2016-07-18,2016-04-20,2016-01-28,2015-10-16,2015-07-17,2015-04-17
会计准则,美国会计准则,美国会计准则,,,,,,,,,,,,
审计意见,,,,,,,,,,,,,,
核数师,,,,,,,,,,,,,,

