zichanfuzhai
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

截止日期,2018-03-31,2017-12-30,2017-09-30,2017-07-01,2017-04-01,2016-12-31,2016-10-01,2016-07-02,2016-04-02,2016-01-02,2015-10-03,2015-06-27,2015-03-28,2014-12-27
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,0929,0929,0930,0930,0930,0930,1001,1001,1001,0925,1003,0927,0927,0927
原始币种,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
融资活动产生的现金流量：,,,,,,,,,,,,,,
新增借款(元),2420000000.00,2165000000.00,4820000000.00,4053000000.00,2967000000.00,774000000.00,6065000000.00,4046000000.00,3766000000.00,382000000.00,2550000000.00,181000000.00,117000000.00,69000000.00
偿还借款(元),-1350000000.00,-1330000000.00,-2364000000.00,-1736000000.00,-1233000000.00,-194000000.00,-2205000000.00,-672000000.00,-626000000.00,-564000000.00,-2221000000.00,-2006000000.00,-1953000000.00,-1098000000.00
回购股份(元),-2608000000.00,-1313000000.00,-9368000000.00,-5944000000.00,-3500000000.00,-1465000000.00,-7499000000.00,-5908000000.00,-4391000000.00,-2352000000.00,-6095000000.00,-2823000000.00,-1788000000.00,-1303000000.00
股息支付(元),-1266000000.00,-,-2445000000.00,-1237000000.00,-1237000000.00,-,-2313000000.00,-1168000000.00,-1168000000.00,-,-3063000000.00,-1948000000.00,-1948000000.00,-
行使股票期权所得(元),91000000.00,50000000.00,276000000.00,256000000.00,186000000.00,65000000.00,259000000.00,216000000.00,160000000.00,52000000.00,329000000.00,292000000.00,235000000.00,65000000.00
现金及权益增加(减少)(元),-,-,17000000.00,-,-,-,-,-,-,-,1012000000.00,1012000000.00,829000000.00,-
其他筹资活动产生的现金流量净额(元),-169000000.00,-156000000.00,-1142000000.00,-1072000000.00,-232000000.00,-167000000.00,-378000000.00,-389000000.00,-431000000.00,107000000.00,-402000000.00,-301000000.00,209000000.00,417000000.00
筹资业务其他项目(元),-,-,1247000000.00,-112000000.00,-,-,-920000000.00,-216000000.00,709000000.00,1907000000.00,2376000000.00,2352000000.00,1954000000.00,2747000000.00
融资活动产生的现金流量净额(元),-2882000000.00,-584000000.00,-8959000000.00,-5792000000.00,-3049000000.00,-987000000.00,-6991000000.00,-4091000000.00,-1981000000.00,-468000000.00,-5514000000.00,-3241000000.00,-2345000000.00,897000000.00
汇率变动影响(元),55000000.00,21000000.00,31000000.00,-23000000.00,-69000000.00,-112000000.00,-123000000.00,-111000000.00,3000000.00,-64000000.00,-302000000.00,-231000000.00,-277000000.00,-105000000.00
现金及现金等价物期初余额(元),4064000000.00,4064000000.00,4760000000.00,4610000000.00,4610000000.00,4610000000.00,4269000000.00,4269000000.00,4269000000.00,4269000000.00,3421000000.00,3421000000.00,3421000000.00,3421000000.00
现金及现金等价物增加(减少)额(元),131000000.00,631000000.00,-696000000.00,-274000000.00,-810000000.00,-874000000.00,341000000.00,958000000.00,746000000.00,32000000.00,848000000.00,1054000000.00,324000000.00,1656000000.00
现金及现金等价物期末余额(元),4195000000.00,4695000000.00,4064000000.00,4336000000.00,3800000000.00,3736000000.00,4610000000.00,5227000000.00,5015000000.00,4301000000.00,4269000000.00,4475000000.00,3745000000.00,5077000000.00
利息支付(元),-,-,466000000.00,-,-,-,395000000.00,-,-,-,314000000.00,-,-,-
所得税支付(元),-,-,3801000000.00,-,-,-,4133000000.00,-,-,-,4396000000.00,-,-,-
公告日期,2018-05-08,2018-02-06,2017-11-22,2017-08-08,2017-05-09,2017-02-07,2016-11-23,2016-08-09,2016-05-10,2016-02-09,2015-11-25,2015-08-04,2015-05-05,2015-02-03
会计准则,美国会计准则,,,,,,,,,,,,,
审计意见,,,,,,,,,,,,,,
核数师,,,,,,,,,,,,,,

lirun
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

起始日期,2017-10-01,2017-10-01,2016-10-01,2016-10-02,2016-10-02,2016-10-02,2015-10-04,2015-10-04,2015-10-04,2015-10-04,2014-09-28,2014-09-28,2014-09-28,2014-09-28
