zichanfuzhai
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

截止日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231
原始币种,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
投资损益(元),-,-,194000000.00,160000000.00,84000000.00,68000000.00,275000000.00,-,-,-,334000000.00,32000000.00,33000000.00,-
经营业务调整其他项目(元),-120000000.00,-257000000.00,137000000.00,99000000.00,34000000.00,8000000.00,174000000.00,117000000.00,91000000.00,64000000.00,212000000.00,157000000.00,116000000.00,77000000.00
预付款项及其他应收款减少(增加)(元),-303000000.00,-286000000.00,955000000.00,182000000.00,6000000.00,-74000000.00,593000000.00,252000000.00,113000000.00,54000000.00,21000000.00,135000000.00,-59000000.00,-162000000.00
待摊费用及其他资产(元),-756000000.00,-241000000.00,-2164000000.00,-2086000000.00,-454000000.00,-128000000.00,-,-,-,-,-,-,-,-
应收账款及票据减少(增加)(元),1388000000.00,1700000000.00,-3768000000.00,-719000000.00,431000000.00,1267000000.00,-2578000000.00,-299000000.00,-17000000.00,818000000.00,-2094000000.00,-336000000.00,-69000000.00,698000000.00
应付账款及票据增加(减少)(元),-23000000.00,122000000.00,731000000.00,58000000.00,119000000.00,103000000.00,110000000.00,238000000.00,-221000000.00,-269000000.00,203000000.00,-168000000.00,-398000000.00,-24000000.00
递延收入(元),295000000.00,130000000.00,390000000.00,228000000.00,195000000.00,111000000.00,223000000.00,42000000.00,3000000.00,18000000.00,43000000.00,-55000000.00,-34000000.00,-59000000.00
应付税项(元),-656000000.00,782000000.00,8211000000.00,-865000000.00,-1779000000.00,510000000.00,3125000000.00,2153000000.00,1680000000.00,271000000.00,-179000000.00,1093000000.00,1950000000.00,756000000.00
应计费用及其他负债(元),4600000000.00,-1142000000.00,4891000000.00,3121000000.00,1687000000.00,-1868000000.00,1515000000.00,338000000.00,-471000000.00,-1064000000.00,1597000000.00,820000000.00,237000000.00,-601000000.00
经营业务其他项目(元),-,-,-,-,-,-,312000000.00,-,-,-,-,-,-,-
经营活动产生的现金流量净额(元),21774000000.00,11642000000.00,37091000000.00,26823000000.00,16951000000.00,9548000000.00,36036000000.00,26623000000.00,16778000000.00,7658000000.00,26024000000.00,19609000000.00,13602000000.00,6617000000.00
投资活动产生的现金流量：,,,,,,,,,,,,,,
购买固定资产支付的现金(元),-12776000000.00,-7299000000.00,-13184000000.00,-8877000000.00,-5339000000.00,-2508000000.00,-10212000000.00,-7134000000.00,-4551000000.00,-2428000000.00,-9915000000.00,-7815000000.00,-5442000000.00,-2927000000.00
处置固定资产收到的现金(元),49000000.00,30000000.00,99000000.00,81000000.00,54000000.00,41000000.00,240000000.00,226000000.00,-,-,-,-,-,-
购买无形资产及其他资产支付的现金(元),-23773000000.00,-9176000000.00,-93940000000.00,-17265000000.00,-6275000000.00,-1212000000.00,-19709000000.00,-17253000000.00,-8382000000.00,-3626000000.00,-13635000000.00,-11128000000.00,-6989000000.00,-3243000000.00
处置无形资产及其他资产收到的现金(元),26714000000.00,9351000000.00,73959000000.00,-,-,828000000.00,-,-,-,-,-,-,-,-
投资支付现金(元),-1434000000.00,-1250000000.00,-287000000.00,-,-,-,-2428000000.00,-2752000000.00,-435000000.00,-291000000.00,-586000000.00,244000000.00,-226000000.00,-1184000000.00
投资业务其他项目(元),-,498000000.00,1952000000.00,1634000000.00,1537000000.00,-,944000000.00,450000000.00,-50000000.00,100000000.00,425000000.00,475000000.00,250000000.00,50000000.00
投资活动产生的现金流量净额(元),-11220000000.00,-7846000000.00,-31401000000.00,-24427000000.00,-10023000000.00,-2851000000.00,-31165000000.00,-26463000000.00,-13418000000.00,-6245000000.00,-23711000000.00,-18224000000.00,-12407000000.00,-7304000000.00
融资活动产生的现金流量：,,,,,,,,,,,,,,
发行股份(元),-,-,-,-,-,-,8729000000.00,-,-,-,-,-,-,-
回购股份(元),-4225000000.00,-2173000000.00,-4846000000.00,-2745000000.00,-2745000000.00,-1127000000.00,-3693000000.00,-,-3693000000.00,-2098000000.00,-1827000000.00,-,-,-
发行债券(元),6236000000.00,4691000000.00,4291000000.00,2698000000.00,-,-,-,8729000000.00,5753000000.00,3956000000.00,13705000000.00,10332000000.00,6698000000.00,3305000000.00
赎回债券(元),-6267000000.00,-3378000000.00,-4377000000.00,-2762000000.00,-56000000.00,-18000000.00,-10064000000.00,-10051000000.00,-6801000000.00,-3962000000.00,-13728000000.00,-10341000000.00,-6704000000.00,-3308000000.00
行使股票期权所得(元),-2699000000.00,-1158000000.00,-4166000000.00,-3111000000.00,-2093000000.00,-1009000000.00,-3304000000.00,-2425000000.00,-1610000000.00,-807000000.00,-2375000000.00,-1610000000.00,-1004000000.00,-493000000.00
超额税收优惠(元),-,-,-,-,-,-,-,-,-,-,548000000.00,354000000.00,216000000.00,105000000.00
现金及权益增加(减少)(元),-,-,800000000.00,800000000.00,480000000.00,480000000.00,-,-,-,-,-,-,-,-
筹资业务其他项目(元),-,-,-,-,-,-,-,-3693000000.00,-,-,-,-47000000.00,-47000000.00,-
融资活动产生的现金流量净额(元),-6955000000.00,-2018000000.00,-8298000000.00,-5120000000.00,-4414000000.00,-1674000000.00,-8332000000.00,-7440000000.00,-6351000000.00,-2911000000.00,-3677000000.00,-1312000000.00,-841000000.00,-391000000.00
汇率变动影响(元),-166000000.00,165000000.00,405000000.00,387000000.00,279000000.00,191000000.00,-170000000.00,137000000.00,69000000.00,60000000.00,-434000000.00,-352000000.00,-248000000.00,-293000000.00
现金及现金等价物期初余额(元),10715000000.00,10715000000.00,12918000000.00,12918000000.00,12918000000.00,12918000000.00,16549000000.00,16549000000.00,16549000000.00,16549000000.00,18347000000.00,18347000000.00,18347000000.00,18347000000.00
现金及现金等价物增加(减少)额(元),3433000000.00,1943000000.00,-2203000000.00,-2337000000.00,2793000000.00,5214000000.00,-3631000000.00,-7143000000.00,-2922000000.00,-1438000000.00,-1798000000.00,-279000000.00,106000000.00,-1371000000.00
现金及现金等价物期末余额(元),14148000000.00,12658000000.00,10715000000.00,10581000000.00,15711000000.00,18132000000.00,12918000000.00,9406000000.00,13627000000.00,15111000000.00,16549000000.00,18068000000.00,18453000000.00,16976000000.00
利息支付(元),-,-,6275000000.00,-,-,-,-,66000000.00,48000000.00,18000000.00,96000000.00,-,48000000.00,18000000.00
所得税支付(元),-,-,-,-,-,-,-,934000000.00,-24000000.00,166000000.00,3338000000.00,-,234000000.00,98000000.00
非现金活动(元),-,-,-,-,-,-,-,-,-,-,-,-,475000000.00,-
公告日期,2018-07-24,2018-04-24,2018-02-06,2017-10-27,2017-07-25,2017-05-02,2017-02-03,2016-11-03,2016-08-04,2016-05-03,2016-02-11,2015-10-29,2015-07-23,2015-04-29
会计准则,美国会计准则,美国会计准则,,,,,,,,,,,,
审计意见,,,,,,,,,,,,,,
核数师,,,,,,,,,,,,,,

lirun
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

起始日期,2018-01-01,2018-01-01,2017-01-01,2017-01-01,2017-01-01,2017-01-01,2016-01-01,2016-01-01,2016-01-01,2016-01-01,2015-01-01,2015-01-01,2015-01-01,2015-01-01
截止日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231
原始币种,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元
