zichanfuzhai
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

预付款项及其他应收款减少(增加)(元),-9279000000.00,-13019000000.00,-9315000000.00,-,-,-,-,-,-,-,-,-,-,-
预收款项及其他应付款增加(减少)(元),-,-,-,8196000000.00,5732000000.00,-3419000000.00,1803000000.00,3798000000.00,9907000000.00,2153000000.00,4373000000.00,10351000000.00,-1482000000.00,8052000000.00
待摊费用及其他资产(元),39106000000.00,33832000000.00,-27588000000.00,-18599000000.00,-18050000000.00,-12628000000.00,-,-,-,-,-,-,-,-
应收账款及票据减少(增加)(元),-,-,-,-6682000000.00,-2336000000.00,-3735000000.00,-2881000000.00,-2800000000.00,-10537000000.00,899000000.00,-434000000.00,787000000.00,-7556000000.00,-6257000000.00
应付账款及票据增加(减少)(元),9053000000.00,1129000000.00,2007000000.00,-,-,-,-,-,-,-,-,-,-,-
经营业务其他项目(元),-45554000000.00,-12698000000.00,18467000000.00,3334000000.00,148000000.00,15552000000.00,-7091000000.00,106000000.00,12389000000.00,-905000000.00,-19724000000.00,-31568000000.00,-11949000000.00,-18273000000.00
经营活动产生的现金流量净额(元),-81000000.00,12648000000.00,-4505000000.00,-6113000000.00,-9470000000.00,-1611000000.00,2447000000.00,7814000000.00,16266000000.00,4138000000.00,3674000000.00,-7963000000.00,-8453000000.00,-13055000000.00
投资活动产生的现金流量：,,,,,,,,,,,,,,
购买固定资产支付的现金(元),-,-410000000.00,-,-,-,-,-,-,-,-,-1373000000.00,-964000000.00,-,-320000000.00
处置固定资产收到的现金(元),-,-,-,-,-,-,-,-,-,-,998000000.00,-,-,-
购买无形资产及其他资产支付的现金(元),-,-,-,-1177000000.00,-,-,-,-941000000.00,-,-,-,-27848000000.00,-,-
处置无形资产及其他资产收到的现金(元),2231000000.00,-,18131000000.00,21489000000.00,17201000000.00,-,42083000000.00,27207000000.00,23781000000.00,10051000000.00,43589000000.00,31735000000.00,29297000000.00,-
贷款偿还(元),-,-,-,-,-,-,-,-,-,-,-,-,-,-2666000000.00
投资支付现金(元),-,-,-,-,-,-,-,-,-,-3820000000.00,-,-10260000000.00,-,-
投资业务其他项目(元),-11534000000.00,-6512000000.00,-30522000000.00,-29140000000.00,-14506000000.00,-2168000000.00,-61591000000.00,-41254000000.00,-36195000000.00,-15347000000.00,-63209000000.00,-61000000.00,-36631000000.00,81000000.00
投资活动产生的现金流量净额(元),-9303000000.00,-6922000000.00,-12391000000.00,-8828000000.00,2695000000.00,-2168000000.00,-19508000000.00,-14988000000.00,-12414000000.00,-9116000000.00,-19995000000.00,-7398000000.00,-7334000000.00,-2905000000.00
融资活动产生的现金流量：,,,,,,,,,,,,,,
新增借款(元),-22981000000.00,-11377000000.00,-35825000000.00,-,-17821000000.00,-,-31596000000.00,-24135000000.00,-17193000000.00,-9025000000.00,-27377000000.00,-279000000.00,-12102000000.00,-
偿还借款(元),-,-,-,-24480000000.00,-,-11538000000.00,-,-,-,-,-,-17615000000.00,-,-5334000000.00
发行股份(元),-,-,56410000000.00,994000000.00,994000000.00,994000000.00,-,-,-,-,1493000000.00,1493000000.00,1493000000.00,1493000000.00
回购股份(元),-3173000000.00,-1868000000.00,-4292000000.00,-,-1709000000.00,-,-3933000000.00,-2908000000.00,-1629000000.00,-976000000.00,-2773000000.00,-2135000000.00,-1473000000.00,-839000000.00
发行债券(元),28234000000.00,15370000000.00,-,-,33522000000.00,-,43626000000.00,27528000000.00,20628000000.00,13183000000.00,34182000000.00,-,22909000000.00,11339000000.00
股息支付(元),-1115000000.00,-599000000.00,-2085000000.00,-1562000000.00,-954000000.00,-,-1746000000.00,-1311000000.00,-791000000.00,-436000000.00,-1455000000.00,-1096000000.00,-673000000.00,-310000000.00
行使股票期权所得(元),-,-,-,-,-,-,-,-,-,-,-,180000000.00,-,-
贷款收益(元),-,-2106000000.00,-,1464000000.00,-,380000000.00,-,-,-,-,-,30159000000.00,-,1017000000.00
超额税收优惠(元),-,-,-,-,-,-,61000000.00,51000000.00,42000000.00,39000000.00,211000000.00,-,176000000.00,173000000.00
现金及权益增加(减少)(元),-85000000.00,-,-83000000.00,-,-35000000.00,-,-96000000.00,-47000000.00,-43000000.00,-5000000.00,-96000000.00,-70000000.00,-60000000.00,-2000000.00
其他筹资活动产生的现金流量净额(元),-145000000.00,-45000000.00,-1437000000.00,58000000.00,4293000000.00,14000000.00,1399000000.00,-278000000.00,-69000000.00,-329000000.00,-2370000000.00,-1657000000.00,-280000000.00,-
筹资业务其他项目(元),11091000000.00,988000000.00,3573000000.00,41059000000.00,-10925000000.00,12872000000.00,-291000000.00,-4311000000.00,-3461000000.00,1437000000.00,22550000000.00,13682000000.00,5714000000.00,2414000000.00
融资活动产生的现金流量净额(元),11826000000.00,363000000.00,16261000000.00,17533000000.00,7365000000.00,2722000000.00,7424000000.00,-5411000000.00,-2516000000.00,3888000000.00,24365000000.00,22662000000.00,15704000000.00,9951000000.00
汇率变动影响(元),-1248000000.00,860000000.00,3670000000.00,2218000000.00,688000000.00,530000000.00,-1065000000.00,1054000000.00,714000000.00,645000000.00,-945000000.00,-767000000.00,-542000000.00,-682000000.00
现金及现金等价物期初余额(元),80395000000.00,80395000000.00,77360000000.00,43381000000.00,43381000000.00,43381000000.00,54083000000.00,54083000000.00,54083000000.00,54083000000.00,46984000000.00,46984000000.00,46984000000.00,46984000000.00
现金及现金等价物增加(减少)额(元),1194000000.00,6949000000.00,3035000000.00,4810000000.00,1278000000.00,-527000000.00,-10702000000.00,-11531000000.00,2050000000.00,-445000000.00,7099000000.00,6534000000.00,-625000000.00,-6691000000.00
现金及现金等价物期末余额(元),81589000000.00,87344000000.00,80395000000.00,48191000000.00,44659000000.00,42854000000.00,43381000000.00,42552000000.00,56133000000.00,53638000000.00,54083000000.00,53518000000.00,46359000000.00,40293000000.00
利息支付(元),3934000000.00,1407000000.00,5377000000.00,-,-,-,-,-,-,-,-,-,-,-
所得税支付(元),790000000.00,250000000.00,1390000000.00,-,-,-,-,-,-,-,-,-,-,-
补充资料其他项目(元),-,-,-,-,-,-,43381000000.00,-,-,-,-,-,-,-
非现金活动(元),-,-,-,-,89318000000.00,42854000000.00,43381000000.00,-,112266000000.00,107276000000.00,108166000000.00,53518000000.00,-,80586000000.00
公告日期,2018-08-03,2018-05-04,2018-02-27,2017-11-03,2017-08-03,2017-05-04,2017-02-27,2016-11-02,2016-08-03,2016-05-04,2016-02-23,2015-11-03,2015-08-04,2015-05-04
会计准则,美国会计准则,美国会计准则,美国会计准则,,,,,,,,,,,
审计意见,,,,,,,,,,,,,,
核数师,,,,,,,,,,,,,,

lirun
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

起始日期,2018-01-01,2018-01-01,2017-01-01,2017-01-01,2017-01-01,2017-01-01,2016-01-01,2016-01-01,2016-01-01,2016-01-01,2015-01-01,2015-01-01,2015-01-01,2015-01-01
截止日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231
原始币种,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
营业收入(元),21687000000.00,11077000000.00,37945000000.00,28445000000.00,19248000000.00,9745000000.00,34631000000.00,25610000000.00,16701000000.00,7792000000.00,35155000000.00,27417000000.00,19650000000.00,9907000000.00
净利息收入(元),1881000000.00,975000000.00,3300000000.00,2305000000.00,1522000000.00,771000000.00,3698000000.00,2815000000.00,1812000000.00,899000000.00,3093000000.00,2056000000.00,1294000000.00,596000000.00
利息收入合计(元),6154000000.00,2860000000.00,8997000000.00,6411000000.00,4071000000.00,1965000000.00,7016000000.00,5148000000.00,3414000000.00,1747000000.00,5835000000.00,4321000000.00,2870000000.00,1484000000.00
利息支出合计(元),4273000000.00,1885000000.00,5697000000.00,4106000000.00,2549000000.00,1194000000.00,3318000000.00,2333000000.00,1602000000.00,848000000.00,2742000000.00,2265000000.00,1576000000.00,888000000.00
手续费及佣金收入(元),2212000000.00,1173000000.00,4061000000.00,2997000000.00,2060000000.00,1033000000.00,4109000000.00,3066000000.00,2075000000.00,3675000000.00,4554000000.00,11614000000.00,7767000000.00,3867000000.00
交易账户净收益(元),7063000000.00,3770000000.00,11116000000.00,8870000000.00,6166000000.00,3235000000.00,10209000000.00,7420000000.00,4811000000.00,2065000000.00,10114000000.00,8649000000.00,6623000000.00,3650000000.00
投资银行及管理业务投资(元),9808000000.00,4826000000.00,6003000000.00,4455000000.00,8744000000.00,4477000000.00,4933000000.00,3556000000.00,2331000000.00,1107000000.00,6135000000.00,4692000000.00,2971000000.00,1623000000.00
其他收入(元),723000000.00,333000000.00,13465000000.00,9818000000.00,756000000.00,229000000.00,11682000000.00,8753000000.00,5672000000.00,46000000.00,11259000000.00,406000000.00,995000000.00,171000000.00
营业支出(元),15158000000.00,7657000000.00,27542000000.00,20513000000.00,13798000000.00,6937000000.00,25783000000.00,19008000000.00,12480000000.00,6054000000.00,26660000000.00,20361000000.00,14068000000.00,7052000000.00
薪酬和福利(元),9535000000.00,4914000000.00,17166000000.00,12887000000.00,8718000000.00,4466000000.00,15878000000.00,11795000000.00,7698000000.00,3683000000.00,16016000000.00,12366000000.00,8929000000.00,4524000000.00
占用和设备费(元),1656000000.00,814000000.00,3120000000.00,2310000000.00,1521000000.00,755000000.00,3095000000.00,2324000000.00,1529000000.00,771000000.00,3149000000.00,2334000000.00,1546000000.00,757000000.00
专业及合同服务费(元),1090000000.00,510000000.00,2169000000.00,1622000000.00,2122000000.00,527000000.00,4048000000.00,1550000000.00,1061000000.00,514000000.00,2298000000.00,3095000000.00,1084000000.00,486000000.00
营销费用(元),319000000.00,140000000.00,609000000.00,419000000.00,291000000.00,136000000.00,587000000.00,418000000.00,288000000.00,134000000.00,681000000.00,487000000.00,329000000.00,150000000.00
非利息支出其他项目(元),2558000000.00,1279000000.00,4478000000.00,3275000000.00,1146000000.00,1053000000.00,2175000000.00,2921000000.00,1904000000.00,952000000.00,4516000000.00,2079000000.00,2180000000.00,1135000000.00
营业利润计算(元),6529000000.00,3420000000.00,10403000000.00,7932000000.00,5450000000.00,2808000000.00,8848000000.00,6602000000.00,4221000000.00,1738000000.00,8495000000.00,7056000000.00,5582000000.00,2855000000.00
持续经营税前利润(元),6529000000.00,3420000000.00,10403000000.00,7932000000.00,5450000000.00,2808000000.00,8848000000.00,6602000000.00,4221000000.00,1738000000.00,8495000000.00,7056000000.00,5582000000.00,2855000000.00
减：所得税(元),1354000000.00,714000000.00,4125000000.00,2358000000.00,1661000000.00,815000000.00,2726000000.00,2160000000.00,1411000000.00,578000000.00,2200000000.00,1704000000.00,1281000000.00,387000000.00
持续经营净利润(元),5175000000.00,2706000000.00,6278000000.00,5574000000.00,3789000000.00,1993000000.00,6122000000.00,4442000000.00,2810000000.00,1160000000.00,6295000000.00,5352000000.00,4301000000.00,2468000000.00
加：已终止或非持续经营净利润(元),-4000000.00,-2000000.00,-19000000.00,-21000000.00,-27000000.00,-22000000.00,1000000.00,1000000.00,-7000000.00,-3000000.00,-16000000.00,-9000000.00,-7000000.00,-5000000.00
净利润(元),5171000000.00,2704000000.00,6259000000.00,5553000000.00,3762000000.00,1971000000.00,6123000000.00,4443000000.00,2803000000.00,1157000000.00,6279000000.00,5343000000.00,4294000000.00,2463000000.00
减：少数股东损益(元),66000000.00,36000000.00,105000000.00,85000000.00,75000000.00,41000000.00,144000000.00,130000000.00,87000000.00,23000000.00,152000000.00,124000000.00,93000000.00,69000000.00
归属于母公司股东净利润(元),5105000000.00,2668000000.00,6154000000.00,5468000000.00,3687000000.00,1930000000.00,5979000000.00,4313000000.00,2716000000.00,1134000000.00,6127000000.00,5219000000.00,4201000000.00,2394000000.00
减：归属于优先股净利润及其他项(元),263000000.00,93000000.00,523000000.00,353000000.00,260000000.00,90000000.00,471000000.00,314000000.00,235000000.00,79000000.00,456000000.00,301000000.00,222000000.00,80000000.00
归属于普通股股东净利润(元),4842000000.00,2575000000.00,5631000000.00,5115000000.00,3427000000.00,1840000000.00,5508000000.00,3999000000.00,2481000000.00,1055000000.00,5671000000.00,4918000000.00,3979000000.00,2314000000.00
每股股息,,,,,,,,,,,,,,
每股股息－普通股(元),-,-,-,0.65,-,0.20,0.70,0.50,0.30,0.15,0.55,0.40,0.25,0.10
每股收益,,,,,,,,,,,,,,
基本每股收益－普通股(元),-,-,-,2.86,-,1.02,2.98,2.15,1.32,0.56,2.97,2.57,2.07,1.22
摊薄每股收益－普通股(元),-,-,-,2.79,-,1.00,2.92,2.11,1.30,0.55,2.90,2.51,2.03,1.18
其他全面收益(元),-,-,-,122000000.00,-,243000000.00,-676000000.00,1049000000.00,1199000000.00,785000000.00,-412000000.00,-174000000.00,-217000000.00,-20000000.00
全面收益总额(元),-,-,-,5675000000.00,-,2214000000.00,5447000000.00,5492000000.00,4002000000.00,1942000000.00,5867000000.00,5169000000.00,4077000000.00,2443000000.00
本公司拥有人应占全面收益总额(元),-,-,-,5567000000.00,-,2123000000.00,5304000000.00,5211000000.00,3779000000.00,1864000000.00,5719000000.00,5048000000.00,4002000000.00,2376000000.00
非控股权益应占全面收益总额(元),-,-,-,108000000.00,-,91000000.00,143000000.00,281000000.00,223000000.00,78000000.00,148000000.00,121000000.00,75000000.00,67000000.00
公告日期,2018-07-18,2018-04-18,2018-01-18,2017-11-03,2017-07-19,2017-05-04,2017-02-27,2016-11-02,2016-08-03,2016-05-04,2016-02-23,2015-11-03,2015-08-04,2015-05-04
会计准则,美国会计准则,美国会计准则,,,,,,,,,,,,
审计意见,,,,,,,,,,,,,,
核数师,,,,,,,,,,,,,,

