zichanfuzhai
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

起始日期,2018-01-01,2018-01-01,2017-01-01,2017-01-01,2017-01-01,2017-01-01,2016-01-01,2016-01-01,2016-01-01,2016-01-01,2015-01-01,2015-01-01,2015-01-01,2015-01-01
截止日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231
原始币种,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
营业收入(元),528496000.00,246207000.00,877059000.00,627703000.00,412786000.00,199906000.00,826943000.00,576290000.00,370233000.00,171698000.00,653587000.00,450837000.00,280005000.00,130145000.00
主营收入(元),528496000.00,246207000.00,877059000.00,627703000.00,412786000.00,199906000.00,826943000.00,576290000.00,370233000.00,171698000.00,653587000.00,450837000.00,280005000.00,130145000.00
营业成本(元),67650000.00,32425000.00,113559000.00,83249000.00,53320000.00,26655000.00,99090000.00,71387000.00,47357000.00,22493000.00,73685000.00,52050000.00,32174000.00,15421000.00
主营成本(元),67650000.00,32425000.00,113559000.00,83249000.00,53320000.00,26655000.00,99090000.00,71387000.00,47357000.00,22493000.00,73685000.00,52050000.00,32174000.00,15421000.00
毛利(元),460846000.00,213782000.00,763500000.00,544454000.00,359466000.00,173251000.00,727853000.00,504903000.00,322876000.00,149205000.00,579902000.00,398787000.00,247831000.00,114724000.00
减：研发费用(元),187538000.00,93505000.00,334148000.00,249863000.00,165369000.00,84302000.00,302759000.00,223757000.00,148409000.00,70893000.00,204131000.00,144143000.00,89183000.00,41850000.00
减：营销费用(元),282556000.00,138406000.00,517446000.00,366020000.00,242178000.00,118018000.00,476506000.00,340583000.00,226053000.00,106164000.00,356723000.00,248840000.00,157251000.00,72190000.00
减：一般及行政费用(元),62096000.00,32250000.00,102871000.00,76017000.00,50320000.00,24445000.00,88149000.00,63178000.00,41673000.00,18532000.00,71078000.00,50753000.00,33169000.00,14495000.00
营业利润(元),-71344000.00,-50379000.00,-190965000.00,-147446000.00,-98401000.00,-53514000.00,-139561000.00,-122615000.00,-93259000.00,-46384000.00,-52030000.00,-44949000.00,-31772000.00,-13811000.00
加：其他收入(支出)(元),8328000.00,1462000.00,12266000.00,8931000.00,5254000.00,1225000.00,2134000.00,3496000.00,2682000.00,1663000.00,1223000.00,1404000.00,1187000.00,1810000.00
持续经营税前利润(元),-63016000.00,-48917000.00,-178699000.00,-138515000.00,-93147000.00,-52289000.00,-137427000.00,-119119000.00,-90577000.00,-44721000.00,-50807000.00,-43545000.00,-30585000.00,-12001000.00
