zichanfuzhai
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

截止日期,2018-03-31,2017-12-30,2017-09-30,2017-07-01,2017-04-01,2016-12-31,2016-09-24,2016-06-25,2016-03-26,2015-12-26,2015-09-26,2015-06-27,2015-03-28,2014-12-27
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,0929,0929,0930,0930,0930,0930,0924,0924,0924,0924,0926,0927,0927,0927
原始币种,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
审计意见,,,,,,,,,,,,,,
核数师,,,,,,,,,,,,,,

lirun
,2018年中报,2018年一季报,2017年年报,2017年三季报,2017年中报,2017年一季报,2016年年报,2016年三季报,2016年中报,2016年一季报,2015年年报,2015年三季报,2015年中报,2015年一季报

起始日期,2017-10-01,2017-10-01,2016-10-01,2016-09-25,2016-10-01,2016-09-30,2015-10-01,2015-09-27,2015-09-27,2015-09-27,2014-09-28,2014-09-28,2014-09-28,2014-09-28
截止日期,2018-03-31,2017-12-30,2017-09-30,2017-07-01,2017-04-01,2016-12-31,2016-09-24,2016-06-25,2016-03-26,2015-12-26,2015-09-26,2015-06-27,2015-03-28,2014-12-27
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
报表年结日,0929,0929,0930,0930,0930,0930,0924,0924,0924,0924,0926,0927,0927,0927
原始币种,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元,美元
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
营业收入(元),149430000000.00,88293000000.00,229234000000.00,176655000000.00,131247000000.00,78351000000.00,215639000000.00,168787000000.00,126429000000.00,75872000000.00,233715000000.00,182214000000.00,132609000000.00,74599000000.00
营业成本(元),92096000000.00,54381000000.00,141048000000.00,108400000000.00,80480000000.00,48175000000.00,131376000000.00,102337000000.00,76085000000.00,45449000000.00,140089000000.00,109136000000.00,79212000000.00,44858000000.00
毛利(元),57334000000.00,33912000000.00,88186000000.00,68255000000.00,50767000000.00,30176000000.00,84263000000.00,66450000000.00,50344000000.00,30423000000.00,93626000000.00,73078000000.00,53397000000.00,29741000000.00
减：研发费用(元),6785000000.00,3407000000.00,11581000000.00,8584000000.00,5647000000.00,2871000000.00,10045000000.00,7475000000.00,4915000000.00,2404000000.00,8067000000.00,5847000000.00,3813000000.00,1895000000.00
减：营销费用(元),8381000000.00,4231000000.00,15261000000.00,11447000000.00,7664000000.00,3946000000.00,14194000000.00,10712000000.00,7271000000.00,3848000000.00,14329000000.00,10624000000.00,7060000000.00,3600000000.00
营业利润(元),42168000000.00,26274000000.00,61344000000.00,48224000000.00,37456000000.00,23359000000.00,60024000000.00,48263000000.00,38158000000.00,24171000000.00,71230000000.00,56607000000.00,42524000000.00,24246000000.00
加：其他收入(支出)(元),1030000000.00,756000000.00,2745000000.00,1948000000.00,1408000000.00,821000000.00,1348000000.00,921000000.00,557000000.00,402000000.00,1285000000.00,846000000.00,456000000.00,170000000.00
持续经营税前利润(元),43198000000.00,27030000000.00,64089000000.00,50172000000.00,38864000000.00,24180000000.00,61372000000.00,49184000000.00,38715000000.00,24573000000.00,72515000000.00,57453000000.00,42980000000.00,24416000000.00
减：所得税(元),9311000000.00,6965000000.00,15738000000.00,12535000000.00,9944000000.00,6289000000.00,15685000000.00,12511000000.00,9838000000.00,6212000000.00,19121000000.00,15183000000.00,11387000000.00,6392000000.00
持续经营净利润(元),33887000000.00,20065000000.00,48351000000.00,37637000000.00,28920000000.00,17891000000.00,45687000000.00,36673000000.00,28877000000.00,18361000000.00,53394000000.00,42270000000.00,31593000000.00,18024000000.00
净利润(元),33887000000.00,20065000000.00,48351000000.00,37637000000.00,28920000000.00,17891000000.00,45687000000.00,36673000000.00,28877000000.00,18361000000.00,53394000000.00,42270000000.00,31593000000.00,18024000000.00
归属于母公司股东净利润(元),33887000000.00,20065000000.00,48351000000.00,37637000000.00,28920000000.00,17891000000.00,45687000000.00,36673000000.00,28877000000.00,18361000000.00,53394000000.00,42270000000.00,31593000000.00,18024000000.00
归属于普通股股东净利润(元),33887000000.00,20065000000.00,48351000000.00,37637000000.00,28920000000.00,17891000000.00,45687000000.00,36673000000.00,28877000000.00,18361000000.00,53394000000.00,42270000000.00,31593000000.00,18024000000.00
每股股息－普通股(元),1.26,0.63,2.40,1.77,1.14,0.57,2.18,1.61,1.04,0.52,1.98,1.46,0.94,0.47
每股收益,,,,,,,,,,,,,,
基本每股收益－普通股(元),6.69,3.92,9.27,7.18,5.50,3.38,8.35,6.66,5.22,3.30,9.28,7.30,5.43,3.08
摊薄每股收益－普通股(元),6.63,3.89,9.21,7.14,5.46,3.36,8.31,6.62,5.19,3.28,9.22,7.25,5.39,3.06
其他全面收益(元),-2636000000.00,-691000000.00,-784000000.00,-1179000000.00,-1056000000.00,-,-,238000000.00,-703000000.00,-1135000000.00,-1427000000.00,16000000.00,1628000000.00,881000000.00
全面收益总额(元),31251000000.00,19374000000.00,47567000000.00,36458000000.00,27864000000.00,-,-,36911000000.00,28174000000.00,17226000000.00,51967000000.00,42286000000.00,33221000000.00,18905000000.00
公告日期,2018-05-02,2018-02-02,2017-11-03,2017-08-02,2017-05-03,2017-02-01,2016-10-26,2016-07-27,2016-04-27,2016-01-27,2015-10-28,2015-07-22,2015-04-28,2015-01-28
会计准则,美国会计准则,,,,,,,,,,,,,
审计意见,,,,,,,,,,,,,,
核数师,,,,,,,,,,,,,,

